State_code,State_name,Document_name
AL,Alabama,Driver's License
AK,Alaska,Driver's License
AZ,Arizona,Driver's License
AR,Arkansas,Driver's License
CA,California,Driver's License
CO,Colorado,Driver's License
CT,Connecticut,Driver's License
DE,Delaware,Driver's License
FL,Florida,Driver's License
GA,Georgia,Driver's License
HI,Hawaii,Driver's License
ID,Idaho,Driver's License
IL,Illinois,Driver's License
IN,Indiana,Driver's License
IA,Iowa,Driver's License
KS,Kansas,Driver's License
KY,Kentucky,Driver's License
LA,Louisiana,Driver's License
ME,Maine,Driver's License
MD,Maryland,Driver's License
MA,Massachusetts,Driver's License
MI,Michigan,Driver's License
MN,Minnesota,Driver's License
MS,Mississippi,Driver's License
MO,Missouri,Driver's License
MT,Montana,Driver's License
NE,Nebraska,Driver's License
NV,Nevada,Driver's License
NH,New Hampshire,Driver's License
NJ,New Jersey,Driver's License
NM,New Mexico,Driver's License
NY,New York,Driver's License
NC,North Carolina,Driver's License
ND,North Dakota,Driver's License
OH,Ohio,Driver's License
OK,Oklahoma,Driver's License
OR,Oregon,Driver's License
PA,Pennsylvania,Driver's License
RI,Rhode Island,Driver's License
SC,South Carolina,Driver's License
SD,South Dakota,Driver's License
TN,Tennessee,Driver's License
TX,Texas,Driver's License
UT,Utah,Driver's License
VT,Vermont,Driver's License
VA,Virginia,Driver's License
WA,Washington,Driver's License
WV,West Virginia,Driver's License
WI,Wisconsin,Driver's License
WY,Wyoming,Driver's License
DC,District of Columbia,Driver's License
AS,American Samoa,Driver's License
GU,Guam,Driver's License
MP,Northern Mariana Islands,Driver's License
PR,Puerto Rico,Driver's License
UM,United States Minor Outlying Islands,Driver's License
VI,"Virgin Islands, U.S.",Driver's License
